mpid	log($PF_p$)	$\Delta{\bar N_{\rm{U}}}$	${\bar N_{\rm{U}}}$	${\bar N_{{\rm{pU}}}}$	${L_0}$	${L_2}$	$SG$	$\bar N$	${E_{\rm{g}}}$	${\bar T_{\rm{M}}}$	 $\bar N_{{\rm{pU}}}$	${\chi ^{\max }}$	${\chi _{{\rm{range}}}}$
mp-8360	-1.879426299	0.5	1.5	1	2	0.707106781	55	44.5	0.8622	517.56	0.235294118	2.1	1.28
mp-554053	-2.928120569	1.387755102	2.571428571	2.571428571	4	0.622699849	55	15.14285714	3.7453	560.0157143	0.428571429	3.44	2.49
mp-21137	-2.844666089	0.979591837	1.714285714	1.714285714	3	0.654653671	55	22	2.0278	435.6871429	0.321428571	3.44	2.44
mp-20944	-3.062485618	0.979591837	1.714285714	1.714285714	3	0.654653671	55	27.14285714	1.8508	417.1157143	0.321428571	3.44	2.49
mp-21452	-2.76447332	0.979591837	2.857142857	2.857142857	2	0.714285714	55	39.71428571	1.1773	288.7185714	0.203703704	3.44	1.11
mp-764236	-2.498941697	0.962962963	2.333333333	1.555555556	4	0.618640485	55	8.555555556	0.9526	724.82	0.511627907	3.44	2.46
mp-752537	-2.718968225	1.632653061	2.285714286	1.142857143	3	0.654653671	55	25.71428571	3.8414	689.3142857	0.347826087	3.44	2.49
mp-558332	-3.198601093	0.32	1.2	0.6	4	0.583095189	55	29.6	1.882	390.328	0.236842105	3.44	2.62
mp-864993	-2.282330079	0.333333333	5	3.333333333	3	0.707106781	55	21.33333333	0.2135	2328.833333	0.133333333	2.16	0.94
mp-768382	-3.036215477	2.08	3.733333333	2.533333333	3	0.669991708	55	15.86666667	3.7015	440.872	0.555555556	3.44	2.34
mp-556872	-3.2358291	0.875	2.25	2	3	0.612372436	55	14.75	3.001	1061.265	0.588235294	3.44	2.62
mp-19393	-2.255707565	2.1875	3.75	1.25	3	0.684653197	55	18.75	1.2475	575.75	0.4	3.44	2.3
mp-556078	-2.769552867	0.371882086	1.047619048	1.047619048	4	0.775181933	55	15.71428571	2.9713	203.8857143	0.544444444	3.98	2.67
mp-560591	-2.747148667	1.79	3.3	2.45	4	0.659545298	55	10.8	2.7235	478.891	0.552083333	3.44	2.51
mp-554191	-2.351640672	4.489795918	4.285714286	1.142857143	3	0.654653671	55	20.85714286	1.8756	338.42	0.5	3.44	2.51
mp-540610	-2.514279567	6.322580645	6	1.419354839	3	0.747524531	55	27.67741935	1.4482	378.5374194	0.5	3.44	2.62
mp-556343	-3.050613409	1.387755102	2.571428571	2.571428571	4	0.622699849	56	15.14285714	3.8464	560.0157143	0.428571429	3.44	2.49
mp-778103	-2.962576291	1.387755102	2.571428571	2.571428571	3	0.654653671	56	12.85714286	3.391	787.06	0.428571429	3.44	1.75
mp-557395	-2.876150645	0.765625	1.875	1.8125	6	0.492125492	56	8.75	5.9285	592.47875	0.663043478	3.98	3
mp-27278	-2.593461012	0.592592593	1.666666667	1.222222222	3	0.638284739	56	5.666666667	5.7942	65.83777778	0.575757576	3.44	1.25
mp-555939	-2.598600665	0.345679012	1.777777778	1.555555556	3	0.638284739	56	16.66666667	3.1058	291.8555556	0.4375	3.44	2.46
mp-600219	-2.024109185	1.015873016	1.666666667	0.857142857	5	0.619047619	56	6.238095238	1.5011	483.1247619	0.461538462	3.16	1.61
mp-679944	-1.879426299	1.333333333	2.666666667	1.047619048	3	0.626330783	56	30.38095238	1.5867	1278.129524	0.224489796	2.58	1.6
mp-24834	-3.136681304	0.691358025	1.777777778	1.333333333	3	0.598351645	56	4.666666667	3.2767	38.50444444	0.5625	3.44	1.24
mp-557130	-2.221849257	0.75	1.25	1.25	4	0.530330086	56	21.25	3.6543	326.9525	0.361111111	3.44	1.79
mp-777893	-2.982969584	1.92	2.2	0.6	3	0.663324958	56	10.6	2.1399	559.438	0.555555556	3.98	3
mp-29654	-2.536108056	1.98	2.8	2.25	2	0.71063352	56	2.8	2.9118	1064.3055	0.236842105	2.2	0.16
mp-568713	-2.671621824	0.897959184	1.571428571	1	4	0.630840062	56	13.28571429	1.9774	641.5485714	0.305555556	3.04	0.84
mp-651231	-3.063992727	0.994897959	3.071428571	2.5	4	0.578086216	56	15.5	1.7386	1947.468571	0.425287356	3.44	1.34
mp-23927	-2.432974458	0.96	1.6	0.8	4	0.6	56	5.36	4.5618	111.5728	0.565217391	3.98	2.44
mp-707466	-2.95467976	0.765625	1.875	1.8125	6	0.492125492	56	8.625	6.4055	564.99875	0.663043478	3.98	1.78
mp-566278	-2.344862238	1.5	3	1.5	2	0.790569415	57	24.5	1.3113	964.85	0.315789474	3.44	1.08
mp-20878	-2.728160019	1	3	3	2	0.707106781	57	45	2.2292	327.705	0.176470588	3.44	1.11
mp-571582	-1.899629696	1.407407407	1.555555556	1.555555556	4	0.532870169	57	58.66666667	0.6522	431.6577778	0.11827957	2.96	1.34
mp-5537	-2.821025066	1.68	2.8	1.2	3	0.663324958	57	22.4	1.7919	829.866	0.352941176	3.44	1.84
mp-672237	-2.596880681	1	3	3	2	0.707106781	57	45	1.5392	327.705	0.176470588	3.44	1.11
mp-768342	-1.804100542	2.204081633	3.142857143	1.142857143	3	0.654653671	57	21.71428571	1.1539	967.0285714	0.444444444	3.44	2.49
mp-559319	-3.326985548	0.661157025	1.818181818	1.818181818	3	0.686348585	57	13.27272727	3.6869	218.5054545	0.447368421	3.44	1.79
mp-17816	-4.007477409	0.578512397	1.636363636	1.181818182	3	0.649220766	57	11.63636364	1.4133	292.5772727	0.46	3.44	2.51
mp-741045	-3.575129792	0.588235294	2	1.705882353	5	0.596993621	57	9.411764706	4.4207	209.3388235	0.597222222	3.44	2.51
mp-18584	-2.270835777	0.625	2.5	1.75	4	0.58630197	57	26.75	2.9334	736.775	0.314285714	3.44	2.21
mp-18005	-2.241088638	2.734693878	3.714285714	1.142857143	4	0.622699849	57	14.85714286	2.3722	618.5814286	0.5	3.44	2.51
mp-720861	-3.50585515	0.42	1.3	0.65	3	0.717635005	57	3.9	4.9388	34.1265	0.517857143	3.44	1.24
mp-17750	-2.089375968	3.25	4.5	1.75	4	0.58630197	57	27	2.0837	629.6075	0.407407407	3.44	2.31
mp-556894	-2.385103522	0.5625	1.75	1.375	4	0.58630197	57	33.5	1.5453	552.43375	0.287878788	2.58	1.76
mp-6055	-2.140862123	2.1875	3.75	1.75	4	0.58630197	57	27.75	2.3989	664.8575	0.366666667	3.44	2.27
mp-667371	-3.033861554	0.888888889	2.666666667	2.666666667	2	0.745355992	57	10	5.6387	598.8666667	0.625	3.44	1.54
mp-541513	-2.429457877	4.163265306	4.714285714	1.142857143	4	0.622699849	57	18.42857143	2.2462	588.1528571	0.41025641	3.44	2.51
mp-18099	-2.573489878	0.530612245	1.142857143	1.142857143	3	0.742307489	57	21.71428571	4.7525	310.1828571	0.538461538	3.98	3.09
mp-29594	-2.449772503	2.160493827	5.111111111	2.611111111	3	0.613631168	57	20.44444444	1.3098	884.6916667	0.430555556	3.04	1.94
mp-16903	-2.716700354	0.530612245	1.142857143	1.142857143	3	0.742307489	57	19.14285714	4.7655	317.3257143	0.538461538	3.98	3.03
mp-7018	-2.357536172	2.4	4	2.2	4	0.529150262	57	25.6	1.9332	465.486	0.382352941	3.44	2.34
mp-766324	-2.092051854	0.444444444	0.666666667	0.666666667	3	0.707106781	57	48	3.1404	610.4	0.277777778	2.66	1.77
mp-554863	-2.401210259	1.966759003	3.263157895	1.368421053	3	0.734960002	57	17.26315789	2.3571	778.8910526	0.5	3.44	2.62
mp-557589	-3.047695383	0.693877551	2.285714286	2.285714286	4	0.685118789	57	16.28571429	4.5331	193.9128571	0.425925926	3.44	1.82
mp-30299	-2.671621824	0.5	2	1.75	3	0.612372436	57	21.5	3.9439	378.015	0.392857143	3.44	2.62
mp-560107	-2.268411799	0.734693878	1.857142857	1.857142857	4	0.562429134	57	19.14285714	2.3354	432.0157143	0.46031746	3.98	1.93
mp-696315	-2.49621027	0.64	1.8	1.4	4	0.529150262	57	7	3.0508	111.506	0.578947368	3.44	2.51
mp-772534	-2.159267204	3.333333333	4	1	3	0.577350269	57	30	2.4565	584.32	0.5625	3.16	2.06
mp-557635	-3.137276642	0.612244898	1.428571429	1.428571429	4	0.735402153	57	19.85714286	1.5148	254.23	0.484848485	3.98	1.93
mp-504922	-1.728158556	4.888888889	5.333333333	2	3	0.707106781	57	34.33333333	1.5625	371.3016667	0.310344828	3.44	2.06
mp-768604	-2.367543417	2	2	0.714285714	3	0.742307489	57	25.71428571	3.4174	443	0.625	3.16	2.21
mp-730972	-4.518657715	1.674858223	2.434782609	1.130434783	5	0.575163328	57	9.913043478	0.3784	135.2173913	0.534883721	3.44	2.06
mp-2455	-2.040481957	0.444444444	3.333333333	2	2	0.745355992	58	47.33333333	0.756	1828.666667	0.115384615	2.2	0.02
mp-19795	-2.095826011	1.5	3.5	3.5	2	0.707106781	58	32.5	1.5451	409.055	0.263157895	2.58	0.8
mp-570155	-1.486782493	0.444444444	2.666666667	2	2	0.745355992	58	30.66666667	1.1505	722.5	0.176470588	3.04	0.76
mp-21575	-2.387216884	3.6	5	1.7	3	0.678232998	58	43	0.6862	700.575	0.201612903	2.55	1.42
mp-1413	-1.643974277	0.444444444	3.333333333	2	2	0.745355992	58	24.66666667	0.5157	1080.533333	0.333333333	2.2	0.01
mp-2695	-1.823908944	0.444444444	3.333333333	2	2	0.745355992	58	59.33333333	0.4039	1704.52	0.115384615	2.2	0.15
mp-22882	-2.946924247	0.444444444	0.666666667	0.666666667	2	0.745355992	58	46.66666667	4.8768	541.2	0.2	2.96	1.7
mp-28584	-3.131947757	1.777777778	2.333333333	2.166666667	3	0.623609564	58	58.33333333	1.5739	612.0533333	0.146551724	2.66	1.04
mp-766	-1.709965545	0.444444444	3.333333333	2	2	0.745355992	58	36.66666667	0.5615	1595.666667	0.157894737	2.2	0.02
mp-560872	-3.187759987	0.96	1.485714286	1.371428571	4	0.605417717	58	10.4	3.907	397.3325714	0.448275862	3.44	2.13
mp-21604	-2.465974783	2.52	4.1	1.7	3	0.678232998	58	33.1	0.9908	679.491	0.342465753	2.58	1.41
mp-604304	-3.129015278	0.515775034	1.259259259	0.666666667	4	0.651051697	58	12.37037037	1.9933	85.38814815	0.256097561	3.04	1.04
mp-17375	-3.241093404	0.8	1.8	1.3	4	0.547722558	58	18.4	1.3295	258.187	0.303571429	3.44	2.62
mp-600026	-2.580045408	0.888888889	2.666666667	2.666666667	2	0.745355992	58	10	5.153	598.8666667	0.625	3.44	1.54
mp-559814	-2.640165846	0.578512397	1.454545455	1	4	0.567727091	58	20	2.5082	464.6372727	0.347222222	2.66	1.68
mp-557467	-3.375725125	0.923076923	2	1.692307692	4	0.580756495	58	6.923076923	4.7775	611.8892308	0.541666667	3.44	2.46
mp-22888	-2.563838467	0.444444444	0.666666667	0.666666667	2	0.745355992	58	30	4.7449	548.8666667	0.277777778	2.96	1.96
mp-541568	-2.369572837	1.6	2.2	1.2	4	0.547722558	58	15.4	2.1278	646.327	0.375	3.04	2.09
mp-570137	-2.548214638	0.994054697	1.655172414	1.103448276	5	0.610062276	58	10.82758621	1.7128	611.797931	0.291139241	3.04	1.08
mp-559064	-3.430634284	0.8	1.6	1.6	4	0.696020434	58	17.73333333	2.8617	197.6853333	0.622641509	3.44	1.48
mp-18420	-2.581699869	0.72	2.4	1.2	3	0.678232998	58	32.4	0.3115	982.016	0.285714286	2.58	1.34
mp-556298	-4.113548758	0.884688091	1.565217391	1.043478261	5	0.597727265	58	4.608695652	6.85	432.5313043	0.552631579	3.98	2.08
mp-559067	-3.044315617	0.444444444	1.333333333	0.666666667	4	0.527046277	58	22.66666667	2.0644	420.8666667	0.2	3.44	2.62
mp-22857	-2.316953593	2.222222222	2.666666667	0.666666667	2	0.745355992	58	19.33333333	0.7872	841.0666667	0.5	3.16	1.5
mp-30096	-2.107349355	0.622222222	1.333333333	1.333333333	3	0.628932075	58	31.6	1.34	613.8813333	0.367088608	3.16	1.59
mp-558014	-2.821025066	0	2	2	1	1	58	16	2.4783	388.36	0.666666667	2.58	0
mp-10553	-2.728160019	0.661157025	3.090909091	3.090909091	3	0.661828172	58	7.090909091	4.6127	1508.481818	0.541666667	3.04	1.73
mp-6105	-3.389347288	2.933333333	4.2	1.333333333	4	0.6	58	31.26666667	0.9477	913.6266667	0.272108844	3.44	2.31
mp-624117	-2.6516965	1.444444444	2.666666667	1.375	5	0.626387349	58	20.41666667	2.275	500.8704167	0.47260274	3.44	2.65
mp-28291	-2.73048869	0.533333333	1.333333333	1.333333333	3	0.813770374	58	11.46666667	4.9824	175.3413333	0.636363636	3.98	1.97
mp-19185	-2.294992641	1.487603306	3.363636364	2	3	0.636363636	58	12.09090909	2.5805	871.0727273	0.412698413	3.44	1.89
mp-581026	-4.258115999	0.595041322	3.545454545	3.090909091	3	0.661828172	58	8.272727273	0.2211	1562.663636	0.490566038	3.04	1.49
mp-560839	-2.148130827	0.979591837	3.142857143	3.142857143	3	0.654653671	58	10.57142857	0	2270.8	0.454545455	3.44	0.89
mp-690698	-2.832684733	1.102040816	1.857142857	1.642857143	6	0.505076272	58	12.85714286	2.8586	732.845	0.488636364	3.98	2.05
mp-695945	-3.086189855	1.06122449	2.571428571	2.095238095	6	0.454256763	58	7.904761905	2.3135	1098.213333	0.487804878	3.44	2.51
mp-22405	-2.26520073	0.52892562	3.272727273	3.090909091	3	0.661828172	58	8.545454545	1.001	1581.663636	0.464285714	3.04	1.13
mp-607436	-3.408943188	1	2	1.166666667	3	0.623609564	58	23.66666667	1.8688	680.5666667	0.425925926	3.44	1.54
mp-746670	-3.173282011	0.8525	1.775	1.15	5	0.60930288	58	4.325	3.1476	359.048	0.462809917	3.44	1.56
mp-27850	-1.705533928	2.666666667	4	1.333333333	3	0.577350269	59	15.33333333	0.5605	725.2166667	0.5	3.16	1.62
mp-570157	-2.051098581	2.666666667	4	1.333333333	3	0.577350269	59	27.33333333	1.7035	818.95	0.307692308	3.04	1.71
mp-17830	-1.785156337	1.5	2.5	2	3	0.637377439	59	39.75	1.3812	890.03875	0.095238095	2.54	1.72
mp-560054	-2.698971524	3.333333333	4	1	3	0.577350269	59	40.66666667	2.7726	863.3866667	0.225	2.96	1.69
mp-28929	-1.838632208	1.111111111	2.333333333	1	3	0.577350269	59	45	2.7812	820.07	0.257142857	2.66	1.44
mp-28458	-1.899629696	0.444444444	1.666666667	1	3	0.577350269	59	51.66666667	2.3094	883.6166667	0.191489362	2.66	1.42
mp-27246	-1.991400126	3.333333333	4	1	3	0.577350269	59	40.66666667	2.9943	863.3866667	0.225	2.96	1.69
mp-8840	-3.356554233	0.8	1.8	1.3	3	0.64807407	59	13.6	1.774	250.33	0.404761905	3.44	2.51
mp-510341	-1.675717689	1.5	2.5	2	3	0.637377439	59	46.5	1.0297	885.9625	0.095238095	2.54	1.75
mp-560607	-2.219683192	0.48	2.4	2.4	2	0.721110255	59	25.2	1.6808	394.392	0.375	3.44	1.39
mp-27702	-2.777285349	1.555555556	2.666666667	2.666666667	3	0.577350269	59	24.66666667	2.3707	218.7166667	0.384615385	3.44	1.66
mp-559419	-6.039053804	0.885204082	1.928571429	1.910714286	6	0.569192052	59	17.78571429	4.6715	587.18375	0.603571429	3.44	2.55
mp-505698	-3.468530024	0.699271592	1.516129032	0.677419355	4	0.657146735	59	10.03225806	4.1274	104.8687097	0.389312977	3.44	2.27
mp-8871	-2.913642661	0.857142857	2	1.571428571	4	0.553283335	59	15.14285714	3.2576	507.9614286	0.541666667	3.44	2.65
mp-504474	-2.473661628	1.25	2.5	1	3	0.612372436	59	20.5	0	438.1525	0.333333333	3.44	2.23
mp-623854	-2.714444266	1.916666667	3.166666667	1.333333333	3	0.716860439	59	16.5	2.5211	754.9391667	0.5	3.44	2.51
mp-8872	-2.818158412	0.857142857	2	1.571428571	4	0.553283335	59	12.57142857	2.9519	509.5142857	0.541666667	3.44	2.62
mp-4693	-3.192469707	1.111111111	1.666666667	1.5	3	0.707106781	59	14.33333333	6.9564	243.3216667	0.65625	3.98	3.16
mp-779593	-3.114077613	1.36	2.2	0.8	3	0.64807407	59	14.4	1.9401	326.655	0.5	3.44	2.51
mp-18742	-2.248721435	1.08	1.8	1.2	4	0.64807407	59	21.8	3.2729	723.88	0.387096774	3.44	2.49
mp-756086	-2.405608224	0.6	1.6	1.1	3	0.64807407	59	16.2	1.5787	436.629	0.327586207	2.58	1.6
mp-776970	-2.343902469	0.6	1.6	1.1	3	0.64807407	59	13	1.1959	472.567	0.431818182	2.58	1.6
mp-27502	-2.95467976	1.111111111	2.666666667	2.666666667	3	0.577350269	59	10	5.8438	1352.55	0.625	3.16	0.61
mp-28728	-2.906580767	1.163265306	2.357142857	1.928571429	3	0.597614305	59	30.64285714	0.639	641.7442857	0.170731707	2.18	1.36
mp-19100	-2.181115046	1.08	1.8	1.2	4	0.64807407	59	18.6	2.2556	643.98	0.5	3.44	2.49
mp-560354	-3.175228089	0.56	1.4	1.4	4	0.64807407	59	13.8	1.928	150.598	0.605263158	3.98	1.93
mp-667349	-2.246417477	6.2304	5.84	1.44	3	0.755248304	59	28.28	1.7103	412.216	0.5	3.44	2.49
mp-16608	-1.90657856	0	4	2.4	2	0.721110255	60	38.8	0.8567	2334.6	0.107142857	2.2	0.3
mp-720283	-1.876148588	1.04	2.2	1.7	6	0.452769257	60	9.9	1.8723	925.356	0.372093023	3.44	2.62
mp-555487	-3.115775199	0.888888889	2.666666667	2.666666667	2	0.745355992	60	22	0.8471	204.8933333	0.384615385	3.44	1.48
mp-28597	-2.248721435	0.8	1.8	1.3	3	0.64807407	60	31.2	1.216	517.474	0.207317073	2.1	1.17
mp-6764	-2.551294762	1.06122449	2.571428571	2.571428571	4	0.515078754	60	16.28571429	3.0102	658.5285714	0.5625	3.44	2.55
mp-568001	-3.35853283	1.25	1.5	1.5	4	0.58630197	60	36.5	0.838	374.03625	0.244897959	3.16	1.55
mp-10913	-3.024571408	0.888888889	2.666666667	2.666666667	2	0.745355992	60	16	1.533	440.3333333	0.384615385	3.44	1.43
mp-16610	-1.716698929	0	4	2.4	2	0.721110255	60	49.6	0.7418	2049.24	0.069767442	2.2	0.19
mp-680193	-2.434153007	1.338374291	2.434782609	2.434782609	3	0.646350815	60	11.39130435	3.605	468.4008696	0.557692308	3.44	2.44
mp-568293	-3.228417663	1.44	1.2	1.2	2	0.721110255	60	14.8	1.3103	694.22	0.375	3.04	2.04
mp-766467	-2.896198673	0.444444444	1.333333333	0.666666667	3	0.577350269	60	16	1.2911	733.2733333	0.222222222	2.58	1.6
mp-568436	-3.52433898	1.571428571	1.571428571	1.571428571	3	0.662401321	60	24.28571429	1.127	638.55	0.344827586	3.04	2.09
mp-771645	-2.671621824	0.444444444	0.666666667	0.666666667	3	0.711458249	60	46	3.851	615.1222222	0.277777778	2.66	1.71
mp-721084	-3.003491393	0.64	1.4	0.7	3	0.734846923	60	7.4	3.6958	61.102	0.323529412	3.04	0.84
mp-753737	-2.391474715	0.444444444	1.333333333	0.666666667	3	0.623609564	60	11.66666667	1.981	582.5933333	0.307692308	2.58	1.6
mp-16970	-3.231367078	0.790123457	2.222222222	2	3	0.638284739	60	10	4.4292	487.7488889	0.6	3.44	2.51
mp-28364	-3.33914116	0.64	1.2	0.8	3	0.6	60	27.6	1.7833	265.748	0.307692308	3.44	2.62
mp-755217	-2.742323105	0.64	1.2	0.8	3	0.6	60	36.4	1.4555	342.556	0.5	3.44	2.65
mp-643701	-2.406714709	0.875	2.25	2	4	0.58630197	60	16.25	4.1826	142.69	0.344827586	3.44	1.82
mp-27742	-3.326985548	0.64	1.2	0.8	3	0.6	60	20.4	1.8215	275.376	0.307692308	3.44	2.62
mp-776023	-3.148134675	0.8	2	2	3	0.663324958	60	17.2	2.5256	489.124	0.411764706	3.44	1.75
mp-23522	-2.943097816	0.444444444	0.666666667	0.666666667	3	0.707106781	60	25.66666667	4.5969	396.5133333	0.476190476	3.16	2.27
mp-3552	-3.109582894	0.790123457	2.222222222	2	3	0.638284739	60	8.222222222	5.24	506.1533333	0.6	3.44	2.46
mp-556814	-2.928120569	2.12244898	3.285714286	1.714285714	4	0.622699849	60	18.14285714	4.0585	454.0414286	0.4	3.44	2.46
mp-5026	-3.084603859	0.8	2	2	3	0.663324958	60	10	4.6064	554.88	0.583333333	3.44	2.13
mp-27622	-2.61618589	0.8	2	1.6	3	0.6	60	24	2.4078	290.39	0.238095238	3.44	2.51
mp-28856	-2.568637362	0.444444444	1.333333333	0.666666667	3	0.582671582	60	31.55555556	2.2158	645.1611111	0.142857143	2.58	1.65
mp-28857	-2.677782153	0.444444444	2	2	3	0.711458249	60	26.22222222	2.7064	189.2344444	0.367346939	3.44	1.11
mp-772876	-2.774692528	0.444444444	0.666666667	0.666666667	3	0.711458249	60	50	3.9536	602.3444444	0.277777778	2.66	1.77
mp-9749	-2.872897471	1.387755102	2.571428571	2.571428571	3	0.654653671	60	11.42857143	5.3153	852.1714286	0.5625	3.44	2.49
mp-11165	-3.698985205	0.716049383	1.555555556	1.333333333	5	0.532870169	60	10	4.7395	250.5266667	0.6	3.98	3.05
mp-756798	-2.492145072	0.444444444	0.666666667	0.666666667	3	0.711458249	60	46	3.8712	615.1222222	0.277777778	2.66	1.71
mp-3123	-2.370591115	1.111111111	1.666666667	1.666666667	3	0.577350269	60	31.66666667	0.8557	879.7833333	0.225806452	2.55	0.36
mp-754967	-2.661544901	0.555555556	1.666666667	1.666666667	3	0.707106781	60	23.33333333	2.2055	323.6433333	0.476190476	3.44	2.55
mp-769283	-3.567041927	1.297777778	2.133333333	1.2	3	0.669991708	60	24.66666667	4.1571	751.5466667	0.36	3.44	2.49
mp-554264	-2.476254443	0.7232	2.16	1.76	4	0.675277721	60	24.56	2.3737	549.6384	0.527777778	2.58	1.69
mp-772109	-2.089375968	0.693877551	2.285714286	2.142857143	4	0.622699849	60	18.85714286	2.9536	414.8985714	0.362068966	3.44	2.46
mp-769147	-3.220408559	1.453287197	2.823529412	1.764705882	3	0.737056711	60	16.23529412	3.8169	337.5058824	0.476190476	3.44	2.22
mp-667426	-2.982969584	0.297520661	2.181818182	2.181818182	3	0.686348585	60	29.63636364	2.5594	265.2472727	0.318181818	3.44	1.42
mp-556932	-2.497573836	0.96	2.8	2.8	3	0.663324958	60	24	3.6032	211.74	0.32	3.44	1.82
mp-25908	-3.735198699	0.498269896	2.352941176	2.352941176	3	0.746386914	60	12.11764706	3.4585	143.0517647	0.58490566	3.44	1.48
mp-559562	-2.863281652	0.25	2	1.875	4	0.661437828	60	18.25	2.0326	286.83	0.435483871	3.44	1.51
mp-5746	-1.958607591	0.4375	1.75	1.75	3	0.684653197	60	19.5	2.3736	330.29	0.4375	3.44	2.13
mp-768315	-2.528709316	0.592592593	1.555555556	1.555555556	3	0.711458249	60	18.44444444	3.3252	225.0555556	0.472222222	3.44	2.13
mp-556585	-3.051101659	1.777777778	2.333333333	0.666666667	2	0.745355992	60	14.33333333	2.3648	542	0.476190476	3.98	2.43
mp-27792	-3.716714605	0.15879017	1.913043478	1.826086957	3	0.733997522	60	10.69565217	4.5508	151.8113043	0.65625	3.44	2.62
mp-775980	-2.432974458	2.666666667	4	1.333333333	2	0.745355992	60	18.66666667	3.576	745.8666667	0.5	3.44	2.11
mp-706579	-2.931816736	0.444444444	1.666666667	1.333333333	4	0.589255651	60	11.5	4.4839	141.28	0.444444444	3.44	2.62
mp-17765	-2.446117822	1.827160494	2.888888889	1.333333333	3	0.711458249	60	24.88888889	3.0669	844.6088889	0.279069767	3.44	1.94
mp-770692	-2.573489878	1.481481481	3.111111111	2.444444444	3	0.711458249	60	20.44444444	2.4445	514.4022222	0.317073171	3.44	1.63
mp-758957	-4.283220631	0.678200692	1.411764706	1.352941176	4	0.77816215	60	15.64705882	4.5547	205.3011765	0.486666667	3.98	1.8
mp-16771	-2.279841276	0.4375	1.75	1.75	3	0.684653197	60	15	3.0277	273.125	0.4375	3.44	2.13
mp-542233	-3.03152032	0.673469388	2.571428571	2.357142857	2	0.814411018	60	33.85714286	1.4712	923.3842857	0.196428571	2.18	1.36
mp-766348	-2.621603371	0.444444444	0.666666667	0.666666667	3	0.707106781	60	48	3.6308	610.4	0.277777778	2.66	1.77
mp-18373	-2.246417477	0.4375	1.75	1.75	3	0.684653197	60	17.25	3.2813	244.335	0.378378378	3.44	1.79
mp-772342	-2.274906052	2.343195266	3.692307692	1.384615385	3	0.725690856	60	22.92307692	1.9733	883.1692308	0.36	3.44	2.22
mp-771047	-2.432974458	0.641975309	2.111111111	1.555555556	3	0.711458249	60	19.88888889	1.9549	291.2777778	0.441558442	3.44	1.89
mp-34475	-2.277366653	1.925925926	3.444444444	1.333333333	3	0.711458249	60	24.33333333	0	936.4222222	0.296296296	3.44	1.94
mp-752460	-2.619790025	0	1	0.666666667	3	0.707106781	60	14.33333333	0.7818	317.1033333	0.5	3.98	3
mp-778385	-3.296714642	0.984375	2.375	2.1875	4	0.625	60	7.75	3.2394	504.576875	0.524390244	3.44	1.4
mp-696658	-2.464706766	0.833333333	1.833333333	1.333333333	4	0.589255651	60	4.166666667	4.4527	349.7966667	0.526315789	3.44	1.24
mp-29001	-2.903092419	2.222222222	2.333333333	0.666666667	3	0.707106781	60	25	5.1742	498.8783333	0.434782609	3.16	2.23
mp-771771	-2.514279567	1.777777778	3.333333333	1.777777778	3	0.711458249	60	30.66666667	3.5547	834.3788889	0.254901961	3.44	1.94
mp-672958	-2.473661628	0.432098765	2.222222222	2.166666667	4	0.707106781	60	11.66666667	4.0476	182.4594444	0.583333333	3.44	2.46
mp-768093	-3.197915537	1.061728395	2.222222222	1.444444444	4	0.577350269	60	10.88888889	0.9283	327.8955556	0.625	3.98	2.35
mp-17953	-2.430626909	1.827160494	2.888888889	1.333333333	3	0.711458249	60	15.77777778	3.4118	750.2	0.5	3.44	2.13
mp-16025	-2.95467976	1.453287197	2.823529412	1.764705882	3	0.737056711	60	13.05882353	5.7078	318.8635294	0.625	3.44	2.22
mp-696490	-3.012783901	0.639053254	1.538461538	1.384615385	4	0.600788437	60	10	5.0827	262.9492308	0.6	3.44	2.44
mp-778347	-2.469801199	0.833333333	1.5	0.666666667	3	0.707106781	60	10.83333333	3.103	413.115	0.540540541	3.98	3
mp-759360	-2.962576291	0.432098765	2.222222222	2.166666667	4	0.707106781	60	13.44444444	3.2667	162.4938889	0.516393443	3.44	2.46
mp-772400	-2.924455594	1.037037037	1.777777778	0.888888889	4	0.555555556	60	14.66666667	4.1868	547.3311111	0.451612903	3.98	3
mp-683981	-2.473661628	5.546875	5.208333333	1.291666667	3	0.692845381	60	28.58333333	1.5396	351.4683333	0.5	3.44	2.62
mp-19516	-2.428291983	1.494809689	3.058823529	2	3	0.737056711	60	20.23529412	4.5582	800.5611765	0.362318841	3.44	1.83
mp-558964	-2.785158006	0	2	2	1	1	60	16	2.5396	388.36	0.666666667	2.58	0
mp-19521	-2.429457877	1.494809689	3.058823529	2	3	0.737056711	60	14.58823529	3.7586	659.5611765	0.520833333	3.44	1.83
mp-763199	-2.703336345	1.111111111	1.666666667	0.666666667	3	0.707106781	60	10.66666667	2.1029	364.4483333	0.555555556	3.98	3
mp-559560	-2.13489644	3.111111111	4.133333333	1.2	4	0.6	60	18.93333333	2.9455	612.84	0.488372093	3.44	2.3
mp-680180	-2.995681636	0.75	3	2.625	4	0.565961571	60	10.125	4.1344	1630.868125	0.454545455	3.04	2.22
mp-28279	-2.071604506	6.444444444	6.333333333	1	3	0.623609564	60	31	0	624.975	0.391304348	3.16	1.96
mp-606691	-2.521434514	3.22	3.9	1.85	4	0.724568837	60	18	2.3917	243.5815	0.580357143	3.44	2.62
