Unnamed: 0,mpid,pf_n,pf_p,formula,m_n,m_p,composition
3771,mp-559875,0.922,0.0415,K3Na2LiTeO6,0.479,17.0,"(K, Na, Li, Te, O)"
3772,mp-559879,0.0547,0.0636,PS2N(Cl3O2)2,36.0,36.3,"(P, S, N, Cl, O)"
3773,mp-559882,0.733,0.228,HgCSNCl,1.38,4.75,"(Hg, C, S, N, Cl)"
3774,mp-559911,0.103,0.0879,V4S9Br4,26.9,17.9,"(V, S, Br)"
3775,mp-559917,0.424,0.000471,P2NCl5O,2.93,2530.0,"(P, N, Cl, O)"
3776,mp-559932,0.578,0.1159999999999999,KTeOF3,1.41,26.9,"(K, Te, O, F)"
3777,mp-559934,0.8690000000000001,0.0899,LiZnPO4,0.546,6.32,"(Li, Zn, P, O)"
3778,mp-559939,0.9,0.0298,Ba(PO3)2,0.5,23.9,"(Ba, P, O)"
3779,mp-559955,0.249,0.122,Pr6Si4S17,6.05,11.6,"(Pr, Si, S)"
3780,mp-559961,1.1,0.285,Tl2SeO4,1.08,5.94,"(Tl, Se, O)"
3781,mp-559969,0.901,0.127,CaLaGaO4,0.491,6.93,"(Ca, La, Ga, O)"
3782,mp-559984,0.974,0.0514,Rb8AlAu3O4,1.06,69.7,"(Rb, Al, Au, O)"
3783,mp-560023,0.173,0.0628,NiSnF6,9.42,25.5,"(Ni, Sn, F)"
3784,mp-560025,1.37,0.652,Ag2S,0.4029999999999999,1.5,"(Ag, S)"
3785,mp-560026,0.988,0.0767,Mg5B3O9F,0.4639999999999999,9.66,"(Mg, B, O, F)"
3786,mp-560028,8.93e-07,0.00175,UTe6(OF5)6,2400000.0,2210.0,"(U, Te, O, F)"
3787,mp-560043,0.5489999999999999,0.0728,KSb4F13,2.29,14.9,"(K, Sb, F)"
3788,mp-560046,1.22,0.513,Ta2Pt3S8,1.89,1.44,"(Ta, Pt, S)"
3789,mp-560051,0.848,0.1969999999999999,RbSiBiS4,2.4,5.4,"(Rb, Si, Bi, S)"
3790,mp-560054,1.2,0.2,LuSBr,1.88,3.72,"(Lu, S, Br)"
3791,mp-560058,0.0177,0.0151,Li9Ga3P8O29,97.2,72.4,"(Li, Ga, P, O)"
3792,mp-560067,1.02,0.123,AgHgSBr,0.3389999999999999,2.99,"(Ag, Hg, S, Br)"
3793,mp-560077,0.396,0.0507,AsSXe2(OF3)3,4.91,60.4,"(As, S, Xe, O, F)"
3794,mp-560097,0.39,0.1169999999999999,CaTeO3,99.1,9.5,"(Ca, Te, O)"
3795,mp-560098,0.83,0.13,SbO2,2.28,16.9,"(Sb, O)"
3796,mp-560102,0.0728,0.0558,RbUSO6F,37300.0,292.0,"(Rb, U, S, O, F)"
3797,mp-560107,0.455,0.539,SbAs3(S2F3)2,1.93,1.65,"(Sb, As, S, F)"
3798,mp-560110,0.0364,1.0,BaUTiO6,370.0,1.99,"(Ba, U, Ti, O)"
3799,mp-560114,0.961,0.198,Er3O2F5,0.501,289.0,"(Er, O, F)"
3800,mp-560119,0.637,0.537,TbCl2F,2.54,8.59,"(Tb, Cl, F)"
3801,mp-560120,0.0255,0.00987,Na2Pd(NO3)4,90.7,221.0,"(Na, Pd, N, O)"
3802,mp-560129,0.845,0.1009999999999999,Na3La2(BO3)3,0.605,7.65,"(Na, La, B, O)"
3803,mp-560144,0.512,0.098,K2RuBr5NO,2.07,52.3,"(K, Ru, Br, N, O)"
3804,mp-560146,0.0903,0.253,Ba17Y16Zn8Pt4O57,34.1,559.0,"(Ba, Y, Zn, Pt, O)"
3805,mp-560151,0.86,0.0859,AlPO4,0.55,6.52,"(Al, P, O)"
3806,mp-560169,0.306,0.344,C(SN)2,5.15,6.54,"(C, S, N)"
3807,mp-560176,0.861,0.0173,K2NaAl3F12,0.563,37.5,"(K, Na, Al, F)"
3808,mp-560188,0.895,0.192,Ba4NaAuO8,63.3,64.1,"(Ba, Na, Au, O)"
3809,mp-560189,0.8240000000000001,0.0385,NaLi2BO3,0.653,16.8,"(Na, Li, B, O)"
3810,mp-560208,0.664,0.0354,K3NbAs2O9,508.0,168.0,"(K, Nb, As, O)"
3811,mp-560209,0.92,0.0111,Li9Al3P8O29,0.541,73.3,"(Li, Al, P, O)"
3812,mp-560210,0.387,0.102,CaH2(CO2)2,3.74,14.9,"(Ca, H, C, O)"
3813,mp-560222,0.906,0.00391,Na3SO4F,0.536,282.0,"(Na, S, O, F)"
3814,mp-560235,0.872,0.0427,K9Sm3Si12(O16F)2,0.529,357.0,"(K, Sm, Si, O, F)"
3815,mp-560249,0.5489999999999999,0.0877,SiH8C2NClO,2.23,14.2,"(Si, H, C, N, Cl, O)"
3816,mp-560265,0.359,0.0522,CaCO3,3.52,88.0,"(Ca, C, O)"
3817,mp-560266,0.853,0.0654,Na3B5SO8,0.5660000000000001,4790.0,"(Na, B, S, O)"
3818,mp-560280,0.08,0.0824,TeC6(ClF7)2,468.0,64.5,"(Te, C, Cl, F)"
3819,mp-560293,0.85,0.212,LiLa5Ti8O24,1.58,3.4,"(Li, La, Ti, O)"
3820,mp-560311,0.256,0.257,Na3FeF6,0.417,0.417,"(Na, Fe, F)"
3821,mp-560314,0.782,0.0334,In2H10S3O17,0.726,62.1,"(In, H, S, O)"
3822,mp-560316,0.983,0.185,Hg3SO6,0.4270000000000001,8.87,"(Hg, S, O)"
3823,mp-560322,0.017,0.152,K2RuN3Cl3O5,502.0,119.0,"(K, Ru, N, Cl, O)"
3824,mp-560328,1.11,0.0804,Ag15P4S16Cl3,0.23,3.17,"(Ag, P, S, Cl)"
3825,mp-560331,0.205,0.745,K2ZrS4,9.53,17.8,"(K, Zr, S)"
3826,mp-560334,0.971,0.0896,NaAlSiO4,0.486,7.31,"(Na, Al, Si, O)"
3827,mp-560339,0.124,0.264,Ca2Zr(SiO3)4,16.6,12.2,"(Ca, Zr, Si, O)"
3828,mp-560352,0.275,0.00537,SrP2(XeF6)3,4.42,17100.0,"(Sr, P, Xe, F)"
3829,mp-560354,0.325,0.0668,SbCl(OF3)2,60.2,25.7,"(Sb, Cl, O, F)"
3830,mp-560357,0.0775,0.113,MnClO3,28.5,27.3,"(Mn, Cl, O)"
3831,mp-560365,0.4270000000000001,0.327,Rb2Zr(IO3)6,3.27,4.52,"(Rb, Zr, I, O)"
3832,mp-560370,0.966,0.595,Ge(PbS2)2,1.15,1.66,"(Ge, Pb, S)"
3833,mp-560387,0.934,0.0322,Cs2Al2P2O9,0.472,25.0,"(Cs, Al, P, O)"
3834,mp-560394,0.885,0.1009999999999999,AsPbClO2,0.98,8.63,"(As, Pb, Cl, O)"
3835,mp-560398,0.943,0.0491,K2Zn(GeO3)2,0.415,12.5,"(K, Zn, Ge, O)"
3836,mp-560399,0.888,0.134,NaMgF3,0.557,3.7,"(Na, Mg, F)"
3837,mp-560412,0.000739,0.0547,GdP4H4NO12,2950.0,47.2,"(Gd, P, H, N, O)"
3838,mp-560420,0.809,0.133,K3Bi2(PO4)3,3.05,17.5,"(K, Bi, P, O)"
3839,mp-560423,0.4479999999999999,0.0371,KBS4(ClO3)4,4.01,322.0,"(K, B, S, Cl, O)"
3840,mp-560431,0.879,0.0275,KBe(PO3)3,0.58,31.3,"(K, Be, P, O)"
3841,mp-560434,0.156,0.0427,K2SN2O5,20.8,39.7,"(K, S, N, O)"
3842,mp-560441,0.942,0.123,BaZn2Si2O7,0.426,5.39,"(Ba, Zn, Si, O)"
3843,mp-560449,0.0019,0.00196,K3Ni2F7,385.0,341.0,"(K, Ni, F)"
3844,mp-560450,0.0657,0.0144,Sb2SNF11,24.1,129.0,"(Sb, S, N, F)"
3845,mp-560453,0.156,0.1669999999999999,Ca7Cu(PtO6)2,25.3,9.72,"(Ca, Cu, Pt, O)"
3846,mp-560459,0.922,0.00176,Rb3Al2(PO4)3,0.513,6980.0,"(Rb, Al, P, O)"
3847,mp-560489,0.0070599999999999,0.2339999999999999,Gd(IO3)3,265.0,10.6,"(Gd, I, O)"
3848,mp-560490,0.531,0.5579999999999999,La2C2N4O,2.83,3.14,"(La, C, N, O)"
3849,mp-560501,0.911,0.536,Tb3SiCuS7,0.8640000000000001,2.23,"(Tb, Si, Cu, S)"
3850,mp-560511,0.387,0.0898,CaH2(CO2)2,3.73,15.9,"(Ca, H, C, O)"
3851,mp-560512,0.551,0.00227,EuSm2BeO5,0.8540000000000001,238.0,"(Eu, Sm, Be, O)"
3852,mp-560513,0.0176,0.282,Gd3Si2Cl5O6,13100.0,7.9,"(Gd, Si, Cl, O)"
3853,mp-560517,0.0203,0.0645,TiSCl6O,188.0,30.2,"(Ti, S, Cl, O)"
3854,mp-560519,0.0442,0.0211,Ba3ScCO3F7,53.9,80.7,"(Ba, Sc, C, O, F)"
3855,mp-560528,0.0183,0.99,K2Ce(PO4)2,252.0,3.46,"(K, Ce, P, O)"
3856,mp-560530,0.995,0.154,Nb2Cd2O7,0.37,2.54,"(Nb, Cd, O)"
3857,mp-560538,1.0,0.0543,Na3AlS3,0.308,7.07,"(Na, Al, S)"
3858,mp-560555,0.632,0.0732,Li8Bi2PdO10,1.27,57.3,"(Li, Bi, Pd, O)"
3859,mp-560559,0.368,0.156,TeC4(ClF3)2,28.1,12.4,"(Te, C, Cl, F)"
3860,mp-560571,0.287,0.272,LaPS4,4.5,4.73,"(La, P, S)"
3861,mp-560572,0.922,0.0226,Al(HO)3,0.46,20.9,"(Al, H, O)"
3862,mp-560579,0.183,0.215,Na2MnCrF7,22.9,46.9,"(Na, Mn, Cr, F)"
3863,mp-560581,0.7390000000000001,0.0629,LiBeH8CNOF4,1.08,175000.0,"(Li, Be, H, C, N, O, F)"
3864,mp-560585,0.361,0.236,P3IrO9,4.07,59.3,"(P, Ir, O)"
3865,mp-560588,1.15,0.174,ZnS,0.182,1.25,"(Zn, S)"
3866,mp-560589,0.0606,0.0641,NbSe2SN2ClF6,23.9,54.5,"(Nb, Se, S, N, Cl, F)"
3867,mp-560591,0.215,0.179,NaTi2Al5O12,41.0,12.3,"(Na, Ti, Al, O)"
3868,mp-560597,0.8809999999999999,0.0393,Na8Si6SnO18,0.5379999999999999,13.2,"(Na, Si, Sn, O)"
3869,mp-5606,1.43,0.523,AlTlF4,1.05,2.0,"(Al, Tl, F)"
3870,mp-560605,0.768,0.2269999999999999,LiLa4AuO8,226.0,29.6,"(Li, La, Au, O)"
3871,mp-560607,1.02,0.603,Sb2O3,0.7040000000000001,1.86,"(Sb, O)"
3872,mp-560608,0.4379999999999999,0.619,Nd10S14O,2.5,1.69,"(Nd, S, O)"
3873,mp-560611,1.23,0.7240000000000001,HoCuS2,2.25,1.4,"(Ho, Cu, S)"
3874,mp-560613,0.888,0.0309,Na2TeO4,0.5539999999999999,22.1,"(Na, Te, O)"
3875,mp-560620,0.7170000000000001,0.0934,BaZr(PO4)2,1.34,7.35,"(Ba, Zr, P, O)"
3876,mp-560622,0.00261,0.0628,CaLa2B10O19,5480.0,43.2,"(Ca, La, B, O)"
3877,mp-560627,0.8240000000000001,0.82,TeMo5O16,5.37,50.4,"(Te, Mo, O)"
3878,mp-560629,0.945,0.00257,K3Al2(PO4)3,0.519,9300.0,"(K, Al, P, O)"
3879,mp-560632,0.963,0.0229,NaGaSiO4,0.4629999999999999,57.2,"(Na, Ga, Si, O)"
3880,mp-560639,0.119,0.0607,SbS(BrF2)3,21.6,43.6,"(Sb, S, Br, F)"
3881,mp-560641,0.809,0.0408,Ba12Cl5F19,0.733,48.3,"(Ba, Cl, F)"
3882,mp-560642,0.7170000000000001,0.0129,Na3SbP2O9,1.16,63.5,"(Na, Sb, P, O)"
3883,mp-560649,0.0842,0.34,KLa(PS3)2,31.9,6.19,"(K, La, P, S)"
3884,mp-560653,0.8909999999999999,0.0535,RbNaLi6(SiO4)2,0.536,13.9,"(Rb, Na, Li, Si, O)"
3885,mp-560658,0.414,0.415,Na5Bi2As5O18,3.76,13.4,"(Na, Bi, As, O)"
3886,mp-560666,0.56,0.0566,K4Nb2Se11O,2.44,45.4,"(K, Nb, Se, O)"
3887,mp-560673,0.297,0.134,NaPr2S2O8F3,6.19,268.0,"(Na, Pr, S, O, F)"
3888,mp-560703,0.0653,0.0729,Te3As2S(OF6)2,44.9,59.8,"(Te, As, S, O, F)"
3889,mp-560715,0.846,0.346,Sn5(PO5)2,12.7,4.76,"(Sn, P, O)"
3890,mp-560721,0.93,0.0527,NaCaBeSi2O6F,0.495,23.5,"(Na, Ca, Be, Si, O, F)"
3891,mp-560745,0.0887,0.0295,AuN5O14,79.2,104.0,"(Au, N, O)"
3892,mp-560772,0.927,0.0266,Mg2B2O5,0.502,24.5,"(Mg, B, O)"
3893,mp-560789,0.4679999999999999,0.2769999999999999,SbI(ClF3)2,3.89,9.49,"(Sb, I, Cl, F)"
3894,mp-560792,0.143,0.222,K2Mo3O10,29.8,151.0,"(K, Mo, O)"
3895,mp-560794,0.623,0.0785,BaNbTePO8,993.0,22.2,"(Ba, Nb, Te, P, O)"
3896,mp-560818,0.943,0.0354,Sr5B3O9F,0.515,132.0,"(Sr, B, O, F)"
3897,mp-560821,0.984,0.0964,Ca2SiO4,0.456,55.0,"(Ca, Si, O)"
3898,mp-560829,0.981,0.134,Na2BeSiO4,0.461,1650.0,"(Na, Be, Si, O)"
3899,mp-560835,0.361,1.11,Pr10Se14O,3.1,1.34,"(Pr, Se, O)"
3900,mp-560839,0.317,0.711,C4SeO2,6.59,1.8,"(C, Se, O)"
3901,mp-560842,1.08,0.156,Cd2SiO4,0.258,1.79,"(Cd, Si, O)"
3902,mp-560845,0.603,0.203,Cu2As4S3Cl2,1.74,6.53,"(Cu, As, S, Cl)"
3903,mp-560848,0.953,0.3879999999999999,AgSbPbS3,0.7879999999999999,2.96,"(Ag, Sb, Pb, S)"
3904,mp-560863,0.348,0.143,ThSe2O7,6.54,10.8,"(Th, Se, O)"
3905,mp-560866,0.00339,0.0676,LiLa(PO3)4,821.0,37.6,"(Li, La, P, O)"
3906,mp-560870,0.946,0.0885,BaGa2B2O7,0.4479999999999999,5.97,"(Ba, Ga, B, O)"
3907,mp-560872,1.03,0.0649,Mg10Ge3(H2O9)2,0.401,7.87,"(Mg, Ge, H, O)"
3908,mp-560873,0.8290000000000001,0.256,Pr3Nb(Cl3O2)2,13.4,4.4,"(Pr, Nb, Cl, O)"
3909,mp-560882,1.0,0.4379999999999999,SeO2,4.09,3.05,"(Se, O)"
3910,mp-560884,0.193,0.0206,TaSCl7O,7.59,100.0,"(Ta, S, Cl, O)"
3911,mp-560889,0.915,0.15,Ba6Na2Si4O15,0.485,7.23,"(Ba, Na, Si, O)"
3912,mp-560891,0.467,0.0048,SnP2Cl8O3,1.65,392.0,"(Sn, P, Cl, O)"
3913,mp-560898,0.8240000000000001,0.0819,NaPr(SeO4)2,0.636,14.7,"(Na, Pr, Se, O)"
3914,mp-560899,0.828,0.0258,CaB3H5O8,0.604,40.2,"(Ca, B, H, O)"
3915,mp-560902,0.643,0.146,MnF2,0.505,2.26,"(Mn, F)"
3916,mp-560904,0.949,0.175,CdHg2SO6,0.515,2.77,"(Cd, Hg, S, O)"
3917,mp-560919,0.7140000000000001,0.0161,Na5Y(CO3)4,0.941,5920.0,"(Na, Y, C, O)"
3918,mp-560921,0.94,0.0814,NaAlAs2O7,0.465,41.0,"(Na, Al, As, O)"
3919,mp-560928,0.0848,0.0158,Sb2IBr2F11,15.6,345.0,"(Sb, I, Br, F)"
3920,mp-560929,0.103,0.027,Na3CrF6,15.2,58.2,"(Na, Cr, F)"
3921,mp-560944,0.913,0.0162,Cs4Ba(PO3)6,0.506,30.4,"(Cs, Ba, P, O)"
3922,mp-560950,0.928,0.0374,K2NaTlO3,0.4270000000000001,18.7,"(K, Na, Tl, O)"
3923,mp-560956,0.261,0.0176,Cs2KCrF6,4.98,73.8,"(Cs, K, Cr, F)"
3924,mp-560964,0.622,0.415,K3Sm(AsS4)2,1.1,2.58,"(K, Sm, As, S)"
3925,mp-560965,0.129,0.118,K4Mn(AsS4)2,9.2,18.1,"(K, Mn, As, S)"
3926,mp-560977,0.441,0.285,KTiPS5,21.1,7.7,"(K, Ti, P, S)"
3927,mp-561005,0.617,0.21,SrBi6(PO5)4,5.35,6.03,"(Sr, Bi, P, O)"
3928,mp-561013,0.993,0.3779999999999999,Ga2PbO4,1.01,5.72,"(Ga, Pb, O)"
3929,mp-561018,0.809,0.221,Na3Sc2(BO3)3,0.63,2.72,"(Na, Sc, B, O)"
3930,mp-561027,0.903,0.0638,AlPO4,0.5670000000000001,28.7,"(Al, P, O)"
3931,mp-561033,1.06,0.5720000000000001,CsCu5S3,0.601,12.6,"(Cs, Cu, S)"
3932,mp-561052,0.3389999999999999,0.14,Ba4Na2CaTi3Si4(SO13)2,207000.0,19100.0,"(Ba, Na, Ca, Ti, Si, S, O)"
3933,mp-561058,0.9,0.0135,Na3Ga(PO4)2,0.528,65.9,"(Na, Ga, P, O)"
3934,mp-561065,0.251,0.34,MgTi2(PO5)2,8.58,4.98,"(Mg, Ti, P, O)"
3935,mp-561066,1.21,0.281,TlS,0.233,1.15,"(Tl, S)"
3936,mp-561068,1.43,0.688,BiAsO4,0.609,1.26,"(Bi, As, O)"
3937,mp-561076,0.865,0.6,La3GaS5O,1.06,1.28,"(La, Ga, S, O)"
3938,mp-561083,0.289,0.11,Na3Bi(PO4)2,6.18,14.4,"(Na, Bi, P, O)"
3939,mp-561096,0.502,0.145,Yb2PrDyS6,3.27,14.2,"(Yb, Pr, Dy, S)"
3940,mp-561098,0.0113,0.25,LiUPO6,430.0,9.78,"(Li, U, P, O)"
3941,mp-561108,0.482,0.19,Y(IO3)3,2.82,8.49,"(Y, I, O)"
3942,mp-561117,0.285,0.0748,SXeO3F2,4.75,88.4,"(S, Xe, O, F)"
3943,mp-561127,0.000565,0.025,K2Ce(NO3)6,38700.0,127.0,"(K, Ce, N, O)"
3944,mp-561132,0.595,0.4370000000000001,K2Ge2PbS6,3.79,6.15,"(K, Ge, Pb, S)"
3945,mp-561133,0.731,0.195,Sr5Nb4O15,2.88,5.47,"(Sr, Nb, O)"
3946,mp-561154,0.0146,0.4920000000000001,La(BO2)3,171.0,5.22,"(La, B, O)"
3947,mp-561160,0.0012,0.0977,NbP4(S2Cl)5,12100.0,16.6,"(Nb, P, S, Cl)"
3948,mp-561179,0.847,0.0331,Ba2CuIO2,0.715,39.0,"(Ba, Cu, I, O)"
3949,mp-561187,0.833,0.0966,NdGa3(BO3)4,0.64,7.77,"(Nd, Ga, B, O)"
3950,mp-561189,0.918,0.0648,Rb6Si10O23,0.507,463.0,"(Rb, Si, O)"
3951,mp-561190,0.0891,0.213,NaAu(SO4)2,95.7,9.65,"(Na, Au, S, O)"
3952,mp-561194,0.248,0.6829999999999999,La10S14O,5.01,1.65,"(La, S, O)"
3953,mp-561202,0.733,0.0508,K6NbAs3O,0.7390000000000001,10.7,"(K, Nb, As, O)"
3954,mp-561205,0.4320000000000001,0.0495,AgC4OF9,529.0,923.0,"(Ag, C, O, F)"
3955,mp-561235,0.12,0.0194,AsCSF11,16.2,132.0,"(As, C, S, F)"
3956,mp-561241,0.0152,0.0011,USb3O2F17,15200.0,5530.0,"(U, Sb, O, F)"
3957,mp-561244,0.0621,0.0661,AsCSCl2F9,84.4,28.2,"(As, C, S, Cl, F)"
3958,mp-561251,0.122,0.015,Rb2Y(NO3)5,52.3,106.0,"(Rb, Y, N, O)"
3959,mp-561254,0.901,0.034,NaLi3GeO4,0.519,16.8,"(Na, Li, Ge, O)"
3960,mp-561256,0.0178,0.759,Ba2TiOF6,110.0,94.6,"(Ba, Ti, O, F)"
3961,mp-561257,0.579,0.146,LiPr2C2N4F3,1.49,8.07,"(Li, Pr, C, N, F)"
3962,mp-561259,0.0102,0.0461,Na3NbOF6,397.0,90.5,"(Na, Nb, O, F)"
3963,mp-561270,0.236,0.5760000000000001,SnH4C2NO4F,11.2,198.0,"(Sn, H, C, N, O, F)"
3964,mp-561291,0.899,0.208,SiO2,0.544,5.7,"(Si, O)"
3965,mp-561294,1.58,0.186,SrLi2Nb2O7,360.0,4.05,"(Sr, Li, Nb, O)"
3966,mp-561301,0.8590000000000001,0.0421,SiO2,0.523,10.7,"(Si, O)"
3967,mp-561303,0.407,0.481,NaSb(PS3)2,3.96,2.8,"(Na, Sb, P, S)"
3968,mp-561305,0.955,0.0441,BaZnSiO4,0.445,17.2,"(Ba, Zn, Si, O)"
3969,mp-561317,0.461,0.32,Rb2NiF4,1180.0,680.0,"(Rb, Ni, F)"
3970,mp-561321,0.0108,0.0165,AsSeS2N2ClF6,309.0,103.0,"(As, Se, S, N, Cl, F)"
3971,mp-561329,0.195,0.221,SeS2(NCl)2,7.54,83.5,"(Se, S, N, Cl)"
3972,mp-561346,0.887,0.292,Na2ZrGeO5,0.513,3820.0,"(Na, Zr, Ge, O)"
3973,mp-561368,0.856,0.0646,NaClO4,0.609,14.0,"(Na, Cl, O)"
3974,mp-561369,1.0,0.156,K3Bi2(AsO4)3,1.34,39.8,"(K, Bi, As, O)"
3975,mp-561370,0.25,0.0899,S,17.7,44.7,(S)
3976,mp-561384,0.38,0.218,ZrF4,3.13,69.9,"(Zr, F)"
3977,mp-561397,0.6579999999999999,0.0745,SO3,1.08,13.1,"(S, O)"
3978,mp-561424,0.868,0.0595,KAlF4,0.5710000000000001,44.3,"(K, Al, F)"
3979,mp-561441,0.925,0.0989,Y2GeO5,0.483,40.2,"(Y, Ge, O)"
3980,mp-561442,0.7859999999999999,0.357,Y2Hf2O7,0.685,1.51,"(Y, Hf, O)"
3981,mp-561446,1.01,0.0652,BaCa(GaO2)4,0.366,9.67,"(Ba, Ca, Ga, O)"
3982,mp-561447,0.8,0.0196,K3AlB8O15,0.6890000000000001,43.4,"(K, Al, B, O)"
3983,mp-561449,0.168,0.0685,OsOF4,40.2,157.0,"(Os, O, F)"
3984,mp-561457,0.936,0.213,CsAlSiO4,0.434,48.1,"(Cs, Al, Si, O)"
3985,mp-561467,0.898,0.252,YAg3(PS4)2,1.32,6.03,"(Y, Ag, P, S)"
3986,mp-561470,0.446,0.0737,AuS5N5Cl4,7.36,24.2,"(Au, S, N, Cl)"
3987,mp-561489,0.537,0.283,AgTeO3,2.28,6.66,"(Ag, Te, O)"
3988,mp-561490,0.436,0.264,PdSeO4,4.35,7.06,"(Pd, Se, O)"
3989,mp-561491,0.913,0.0393,KNaMg2Si4(O5F)2,0.501,53.2,"(K, Na, Mg, Si, O, F)"
3990,mp-561492,0.42,0.0415,ZnSb2(XeF4)6,2.31,24.2,"(Zn, Sb, Xe, F)"
3991,mp-561502,0.8,0.0686,Ba8B5N10F,20.5,11.9,"(Ba, B, N, F)"
3992,mp-561511,0.374,0.441,FeAsS,3.38,3.19,"(Fe, As, S)"
3993,mp-561518,1.06,0.23,Mg2BiAsO6,20.2,13.0,"(Mg, Bi, As, O)"
3994,mp-561547,0.981,0.0482,SrSiO3,0.445,52.8,"(Sr, Si, O)"
3995,mp-561549,0.872,0.0883,K2Be2(Si2O5)3,0.546,8.28,"(K, Be, Si, O)"
3996,mp-561551,0.909,0.0786,Y2Si2O7,0.489,10.3,"(Y, Si, O)"
3997,mp-561561,0.386,0.0377,Cs2KRhF6,3.89,39.8,"(Cs, K, Rh, F)"
3998,mp-561584,0.00843,0.767,Gd2GeO5,311.0,7.15,"(Gd, Ge, O)"
3999,mp-561613,0.242,0.039,SrV3O7,9.7,143.0,"(Sr, V, O)"
4000,mp-561622,0.78,0.0989,Cs2AgAsS4,0.716,9.68,"(Cs, Ag, As, S)"
4001,mp-561635,0.5489999999999999,0.412,CsSmSiS4,122.0,35.9,"(Cs, Sm, Si, S)"
4002,mp-561639,1.32,0.309,CsSbS2,2.86,3.26,"(Cs, Sb, S)"
4003,mp-561647,0.524,0.0661,Cs2TeOF4,2.87,94.6,"(Cs, Te, O, F)"
4004,mp-561659,0.107,0.0468,MnF4,13.5,35.6,"(Mn, F)"
4005,mp-561664,0.7070000000000001,1.28,TeF4,2.35,1.23,"(Te, F)"
4006,mp-561703,0.5489999999999999,0.499,AuCClO,19.7,4.02,"(Au, C, Cl, O)"
4007,mp-561725,0.894,0.0316,CsBO2,0.532,15.0,"(Cs, B, O)"
4008,mp-561738,1.49,0.412,Ba2NiMoO6,0.6890000000000001,2.49,"(Ba, Ni, Mo, O)"
4009,mp-561751,1.57,0.767,CsErS2,0.506,2.05,"(Cs, Er, S)"
4010,mp-5618,0.966,0.168,Mg2As2O7,0.421,3.53,"(Mg, As, O)"
4011,mp-561827,0.763,0.29,Cs3TlF6,0.735,202.0,"(Cs, Tl, F)"
4012,mp-561848,0.3229999999999999,0.457,C3O2,89.4,4.61,"(C, O)"
4013,mp-561877,0.768,0.0587,HoF3,0.7340000000000001,17.3,"(Ho, F)"
4014,mp-561884,0.0177,0.096,MnP2PbO7,117.0,31.1,"(Mn, P, Pb, O)"
4015,mp-561973,0.636,0.0948,K(TeO3)2,1.18,7.94,"(K, Te, O)"
4016,mp-561974,0.379,0.5,Zr7(NO2)4,4.57,6.21,"(Zr, N, O)"
4017,mp-562012,0.264,0.315,K2Th(MoO4)3,307.0,2940.0,"(K, Th, Mo, O)"
4018,mp-562054,0.514,0.2019999999999999,XeO3,2.2,5.97,"(Xe, O)"
4019,mp-562065,0.487,0.327,PO2,5.57,8.98,"(P, O)"
4020,mp-562072,0.64,0.293,Cs3SbO3,2.4,5.24,"(Cs, Sb, O)"
4021,mp-562090,0.536,0.337,CuCClO,2.12,7.79,"(Cu, C, Cl, O)"
4022,mp-5621,0.82,1.15,NbCu3S4,1.36,0.972,"(Nb, Cu, S)"
4023,mp-562135,0.316,0.691,KVPbO4,6.43,66.5,"(K, V, Pb, O)"
4024,mp-562182,0.966,0.127,ZnSiO3,0.424,3.52,"(Zn, Si, O)"
4025,mp-562283,1.08,0.256,GePb3O5,0.296,1.33,"(Ge, Pb, O)"
4026,mp-562338,0.198,0.23,USeO6,15.1,11.0,"(U, Se, O)"
4027,mp-562394,1.0,0.0884,Cs4Li2(Si2O5)3,0.435,21.1,"(Cs, Li, Si, O)"
4028,mp-562490,0.8420000000000001,0.104,SiO2,0.605,6.97,"(Si, O)"
4029,mp-562517,0.932,0.0573,CaMg(SiO3)2,0.483,8.17,"(Ca, Mg, Si, O)"
4030,mp-562569,0.941,0.321,CsPPbS4,22.2,46.2,"(Cs, P, Pb, S)"
4031,mp-562575,0.283,0.178,KMo(PO4)2,65.5,112.0,"(K, Mo, P, O)"
4032,mp-562609,0.268,0.289,Mn(NO3)2,5.77,5.35,"(Mn, N, O)"
4033,mp-562764,0.322,0.0701,Ba7B4S13,5.46,20.6,"(Ba, B, S)"
4034,mp-562920,0.954,0.0347,CsAl(SiO3)2,0.4529999999999999,15.8,"(Cs, Al, Si, O)"
4035,mp-562977,0.828,0.0359,RbNbS2O9,828.0,157.0,"(Rb, Nb, S, O)"
4036,mp-563,1.12,1.31,C3N4,0.8859999999999999,0.7609999999999999,"(C, N)"
4037,mp-5637,1.07,0.142,SrZnO2,0.325,13.0,"(Sr, Zn, O)"
4038,mp-5639,0.993,0.0841,Mg2SiO4,0.391,4.62,"(Mg, Si, O)"
4039,mp-565192,0.8859999999999999,0.293,CuBi(WO4)2,1.89,12.9,"(Cu, Bi, W, O)"
4040,mp-565194,0.151,0.545,CdMoPO6,18.8,58.9,"(Cd, Mo, P, O)"
4041,mp-565195,0.733,0.0305,SrCrSn(PO4)3,1.49,53.1,"(Sr, Cr, Sn, P, O)"
4042,mp-5652,0.8690000000000001,0.139,Y2Si2O7,0.551,4.75,"(Y, Si, O)"
4044,mp-565232,0.301,0.958,KCr2AgO7,101.0,194.0,"(K, Cr, Ag, O)"
4045,mp-565247,0.259,0.0444,K2Mo3(AsO5)4,5.75,46.7,"(K, Mo, As, O)"
